"","專利號","公司全名","更新日期","計算終止日","申請日","獲證日","標題","專利摘要","主分支","公開發行","技術大類","PR","股票代碼","產業別","收盤時間","氣動值","月營收成長率","熱度值","營收成長率","毛利成長率","營益成長率","外資成本","投信成本","自營商成本","收盤價","加權後成本","市值權重%","趨勢機率%","區域"
"457","TW202425047A","日商東京威力科創","2025-09-19","2025-09-15","2023-07-26",NA,"參數推定系統、參數推定方法、電腦程式及基板處理裝置","本發明提供一種參數推定系統、參數推定方法、電腦程式及基板處理裝置。        本發明係具備基板載置台、及經由冷卻層對基板載置台進行調溫之冷卻基台之基板處理裝置中之參數推定系統，且具備：取得部，其取得於將基板載置台升溫時，藉由按時間序列測定基板載置台之溫度所得之溫度時間序列資料；模型計算部，其使用物理模型來算出基板載置台之溫度遷移；誤差計算部，其算出取得部所取得之溫度時間序列資料、與自模型計算部所得之溫度遷移資料之間的誤差；及推定部，其基於誤差計算部算出之誤差，推定物理模型中之包含向基板載置台之熱輸入之值與冷卻層之熱阻之值的參數。","main",NA,"電源管理",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"458","TW202425051A","日商東京威力科創","2025-09-19","2025-09-15","2023-08-11",NA,"蝕刻方法及電漿處理裝置","本發明之課題在於提供一種於在基板上形成具有較高深寬比之凹部之蝕刻中提高蝕刻速率之技術。        所揭示之蝕刻方法包括於電漿處理裝置之腔室內將基板載置於基板支持部上之步驟。蝕刻方法進而包括利用腔室內所產生之電漿對基板進行蝕刻，以於該基板形成凹部之步驟。於進行蝕刻之步驟中，向基板支持部供給電偏壓，以將離子自電漿饋入至基板。於進行蝕刻之步驟中，對作為電偏壓之波形週期之持續時間之倒數的偏壓頻率、及經脈衝化之電偏壓之脈衝工作比中之至少一者進行變更，以維持離子對於基板之能量通量。","main",NA,"半導體結構與製程",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"459","TW202425053A","日商東京威力科創","2025-09-19","2025-09-15","2023-08-17",NA,"基板處理方法及電漿處理裝置","本發明之課題在於提供一種提昇蝕刻選擇比之技術。        本發明所揭示之蝕刻方法係於在腔室內將基板載置於基板支持部上，且處理氣體被供給至腔室內之狀態下，重複循環。基板包括由含矽之材料形成之第1區域、及由與第1區域之材料不同之材料所形成之第2區域。處理氣體包含鎢及用以蝕刻第1區域之成分。循環包括第1～第3步驟。第1步驟中之源高頻電力之功率位準大於第2～第3步驟之各者中之源高頻電力之功率位準。第3步驟中之電偏壓之位準大於第1步驟中之電偏壓之位準。第2步驟中之電偏壓之位準大於零。","main",NA,"印刷電路板",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"460","TW202425054A","日商東京威力科創","2025-09-19","2025-09-15","2023-08-17",NA,"基板處理方法及電漿處理裝置","本發明提供一種能夠去除含金屬層之基板處理方法及電漿處理裝置。        於一例示性實施方式中，基板處理方法包括如下步驟：(a)提供基板，基板具備第1區域及第2區域，上述第1區域包含含有矽之第1材料，上述第2區域包含與第1材料不同之第2材料；(b)利用自含有鹵素及金屬之處理氣體所產生之電漿，於第1區域上形成含金屬層，並且對第2區域進行蝕刻；及(c)藉由鹼而去除含金屬層。","main",NA,"印刷電路板",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"461","TW202425061A","日商東京威力科創","2025-09-19","2025-09-15","2023-09-01",NA,"基板處理裝置","本發明之一例示性實施方式中，提供一種基板處理裝置。基板處理裝置具備處理腔室、基板支持台、第1供給管、第2供給管、第1間隔壁、第2間隔壁、第1回收管、第2回收管、壓電元件、第1熱電元件及驅動電路。第2供給管係以向第2凹部供給導熱介質之方式構成。壓電元件配置於第2噴嘴之開口之周圍，以根據對其所施加之電壓而使該第2噴嘴之開口之截面積減小。第1熱電元件係為了產生與第1回收管內之導熱介質和第2回收管內之導熱介質之間之溫差相應的第1電動勢而配置。驅動電路係以將與第1電動勢之大小相應之電壓施加至壓電元件之方式構成。","main",NA,"印刷電路板",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"462","TW202425065A","大陸商中微半導體設備(上海)","2025-09-19","2025-09-15","2023-11-28",NA,"晶圓邊緣處理裝置及操作方法","本發明提供一種晶圓邊緣處理裝置，其包括反應腔，反應腔內的下電極組件包括下邊緣環和基座，反應腔內的上電極組件包括上邊緣環和上蓋板；待測件為校準晶圓或待處理晶圓，待測件包括第一待測件，待測件的邊緣區域位於上邊緣環和下邊緣環之間；所述裝置還包括：設置在上電極組件中的第一組感測器，第一組感測器包括至少三個沿上電極組件的周向間隔排佈的感測器，用於測量第一組感測器與第一待測件之間的第一距離；計算單元，其基於第一組感測器的測量結果判斷第一待測件與上邊緣環是否平行。本發明還提供一種晶圓邊緣處理裝置的操作方法。","main",NA,"晶圓封裝與測試",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"463","TW202425070A","日商牛尾電機","2025-09-19","2025-09-15","2023-09-18",NA,"閃光照射裝置、閃光放電燈","本發明的課題是提供不讓裝置結構及點燈電路複雜化，對於工件能夠以更高的照射能量照射光的閃光照射裝置及閃光放電燈。        解決手段具備：延伸於第一方向並於內側封入發光氣體的發光管、在發光管的內側中，隔開於第一方向而配置的一對放電電極、從發光管觀察，配置在工件之相反側，將從發光管向工件之相反側發出的光，反射至工件側的反射構件、在發光管的外壁面上或發光管的附近中，隔開於第一方向而配置的一對觸發電極、連接於一對放電電極，對一對放電電極間供給電力的點燈電路、連接於一對觸發電極，對一對觸發電極間施加點燈啟動用的電壓的觸發電路。","main",NA,"發光半導體",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"464","TW202427049A","ACM RESEARCH (SHANGHAI) INC.","2025-09-19","2025-09-15","2023-12-28",NA,"膠膜框對中裝置","本發明提供的膠膜框對中裝置，通過設置升降可控且自由轉動的接取機構、具有對中和尋邊功能的對中單元以及檢驗對中和尋邊的有效性的檢測單元，讓膠膜框在被機械手送回晶盒之前能夠精准對中且找到平邊位置，避免膠膜框的圓弧邊與晶盒相撞。","branch",NA,"半導體設備",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"465","TW202427053A","日商鎧俠","2025-09-19","2025-09-15","2023-07-24",NA,"壓印裝置、圖案形成方法及半導體裝置之製造方法","實施方式之壓印裝置具備：吸盤，其具有能夠調整具有曝光照射區域之基板之溫度的調溫部，且能夠保持基板；模板平台，其能夠以使具有圖案之面與基板對向之狀態保持模板，並改變基板與模板於面方向上之相對位置及相對距離；及控制部，其控制吸盤及模板平台；控制部基於圖案與曝光照射區域之倍率誤差，控制調溫部而調整基板之溫度，並控制模板平台而使上述圖案轉印至溫度經調整之基板之曝光照射區域。","branch",NA,"3D列印",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"466","TW202427055A","ROHM AND HAAS ELECTRONIC MATERIALS LLC | DDP SPECI","2025-09-19","2025-09-15","2023-06-27",NA,"金屬化方法","本文揭露了一種金屬化方法，其包括 (a) 在基底的第一表面上由底層組成物形成底層，該底層組成物包含：含有酸不穩定基團和敏化基團的第一聚合物，其中 (i) 第一聚合物含有敏化基團或者 (ii) 不同於第一聚合物的化合物含有敏化基團；其中底層具有第一厚度；(b) 在底層上由光阻劑組成物形成光阻劑層，該光阻劑組成物包含：含有酸不穩定基團的第二聚合物、和光酸產生劑；其中光阻劑層具有第二厚度；(c) 將光阻劑層以圖案方式暴露於活化輻射；(d) 將經暴露的光阻劑層用鹼性顯影劑顯影。","branch",NA,"3D列印",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"467","TW202427058A","ROHM AND HAAS ELECTRONIC MATERIALS LLC","2025-09-19","2025-09-15","2023-11-30",NA,"聚合物、包含其的光阻劑組成物及圖案形成方法","公開了一種聚合物，其包含含有酸不穩定基團的第一重複單元；選自羧酸根基團或胺基磺酸根基團的陰離子端基；以及有機陽離子。","branch",NA,"先進材料與奈米科技",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"468","TW202427065A","日商東京威力科創","2025-09-19","2025-09-15","2023-09-08",NA,"半導體工件圖案化","在某些實施例中，方法包括在待透過光微影圖案化之半導體晶圓上方沉積光阻層，該光阻層具有第一高度，以及將光阻層曝光於光化輻射圖案以形成光阻層之曝光區域及未曝光區域。該方法進一步包括在光阻層上方沉積含劑層並執行半導體晶圓的曝光後烘烤。曝光後烘烤將部分光阻層改質，以形成用於顯影之光阻層之可溶部分。光阻層之可溶部分包括曝光區域及未曝光區域的頂部。該方法進一步包括對光阻層顯影以選擇性地去除可溶部分，未曝光區域之剩餘部分形成半導體晶圓之圖案化結構並具有小於第一高度的第二高度。","branch",NA,"半導體結構與製程",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"469","TW202427070A","日商尼康","2025-09-19","2025-09-15","2023-12-11",NA,"物體保持裝置、曝光裝置、物體移動方法、物體保持系統","本發明的物體保持裝置包括：保持部，保持物體，且沿所述物體的掃描方向即第一方向與在水平面內正交於所述第一方向的第二方向受到驅動；以及一對線性馬達，各自包含第一單元及第二單元，對所述保持部賦予所述第一方向的推力及所述第二方向的推力，所述第一單元具有多個電樞模組，所述多個電樞模組分別包含磁性體芯及線圈，所述磁性體芯具有朝所述第二方向突出的兩個以上的突出部，所述線圈捲繞於所述磁性體芯且使相同相位的電流流經，所述第二單元具有磁鐵模組，所述磁鐵模組包含一邊改變極性一邊沿所述第一方向配置的多個永磁鐵，且配置於鄰接的兩個所述突出部之間，所述多個永磁鐵各自的至少一部分被收容於由所述鄰接的兩個所述突出部所夾著的空間內。","branch",NA,"半導體設備",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"470","TW202427071A","美商應用材料","2025-09-19","2025-09-15","2023-11-17",NA,"EUV光阻劑與底層之黏著調節","本文所揭示之實施例包括顯影圖案化堆疊的方法。在一實施例中，該方法包括提供圖案化堆疊，其中圖案化堆疊包括底層和在底層上的光阻劑，並且其中底層與光阻劑具有第一黏著強度。該方法還可以包括利用電磁輻射和顯影劑曝光和顯影光阻劑，其中浮渣保留在底層的表面上。在一實施例中，該方法還包括處理底層，使得底層與浮渣具有第二黏著強度，並去除浮渣。","branch",NA,"先進材料與奈米科技",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"471","TW202427266A","國立成功大學","2025-09-19","2025-09-15","2022-12-28",NA,"應用於類神經網路的記憶內運算的加速器","應用於類神經網路的記憶內運算的加速器包含記憶體、資料緩存單元、池化單元、損失計算單元、第一巨集電路、第二巨集電路、第三巨集電路、及多工器。記憶體用以儲存輸入資料。資料緩存單元耦接於記憶體，用以緩存記憶體的輸出資料。池化單元耦接於記憶體，用以將記憶體的輸出資料池化，以得到最大池化值。損失計算單元耦接於記憶體，用以計算輸出損失。第一巨集電路、第二巨集電路以及第三巨集電路，耦接於資料緩存單元。多工器耦接於池化單元、第一巨集電路、第二巨集電路及第三巨集電路，用以產生輸出資料。","decline",NA,"AI晶片與硬體加速器",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"472","TW202427268A","INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE","2025-09-19","2025-09-15","2023-10-06",NA,"資料處理系統以及用於深度神經網路模型的資料處理方法","一種用於深度神經網路模型的資料處理方法，包括：讀取傳輸資料的多個權重；將每一權重量化成多個位元，其中該些位元依序包括第一類位元、多個第二類位元、第三類位元以及第四類位元；將每一權重中的第一類位元交織成第一位元集；依序將每一權重中的每一第二類位元交織成多個第二位元集，響應於第二位元集可被壓縮，讀取每一第二位元集的第二壓縮率；將每一權重中的第三類位元交織成第三位元集，響應於第三位元集可被壓縮，讀取第三位元集的第三壓縮率；以第二壓縮率壓縮每一第二位元集，並以第三壓縮率壓縮第三位元集；依序將第一位元集、已壓縮的每一第二位元集及已壓縮的第三位元集進行編碼以產生對應於傳輸資料的第一已編碼資料；以及將第一已編碼資料傳輸至外部裝置。","decline",NA,"AI晶片與硬體加速器",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"473","TW202427274A","QUALCOMM INCORPORATED","2025-09-19","2025-09-15","2023-10-27",NA,"機器學習編譯器優化中的節點對稱性","一種處理器實施的用於使用節點對稱性來進行編譯器優化的方法包括：接收人工神經網路(artificial neural network, ANN)的表示，該表示包括經由多條邊耦合的多個節點。基於每個節點的屬性集合或這些節點經由這些邊的連通性中的一者或多者來確定一個或多個對稱節點集。基於該一個或多個對稱節點集來生成用於執行這些節點的次序或調度中的一者或多者。","decline",NA,"電機機械",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"474","TW202427374A","鴻海精密工業","2025-09-19","2025-09-15","2022-12-20",NA,"車輛偏移檢測方法及相關設備","本發明提供一種車輛偏移檢測方法及相關設備，其中，所述方法包括：將拍攝得到的第一前景圖像轉換為鳥瞰圖，根據鳥瞰圖中非零圖元點的分佈確定左車道線初始位置以及右車道線初始位置，根據左右車道線的初始位置移動滑動視窗，將當前滑動視窗之前的所有滑動視窗內的非零圖元點與當前滑動視窗內的非零圖元點擬合成第二曲線，根據第二曲線得到對應的左車道線以及右車道線，分別計算車輛與左右車道線之間的距離，確定車輛是否發生偏移。本申請能有效檢測車道線，提高識別車道線偏移的準確度。","branch","Yes","電子產品檢測",NA,"2317","其他電子業","2025-09-18",0.53,10.61,1,15.67,14.09,26.88,163,144.6,201.4,215,163.3,3.32459,54.7,"TW"
"475","TW202427378A","林修安","2025-09-19","2025-09-15","2022-12-23",NA,"具有光學檢測廢液的回收方法與裝置","本發明提供一種具有光學檢測廢液的回收方法與裝置。其回收方法包括：建立複數個統計基準；擷取一透明管路內的廢液影像；對該廢液影像進行影像處理，以取得關於一顏色特徵的複數個特徵資料；對所述複數個特徵資料進行一統計演算處理，以得到複數種統計特徵值；以及從所述複數個統計基準中選擇至少一統計基準與所述統計特徵值進行比較，以判斷出廢液品質。","branch",NA,"電子產品檢測",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"476","TW202427383A","ACER INCORPORATED","2025-09-19","2025-09-15","2022-12-15",NA,"用於三維影像中的臉部的深度強化的電子裝置和方法","提供一種用於三維影像中的臉部的深度強化的電子裝置和方法。方法包含：取得三維影像的影像幀，其中影像幀包含三維網格和對應於三維網格的紋理；對影像幀執行臉部偵測以取得定界框；根據定界框產生對應於臉部的第一深度資訊；根據第一深度資訊更新三維網格；以及根據經更新的三維網格以及紋理產生輸出幀，並且傳送輸出幀。","branch",NA,"電腦視覺與影像處理",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"477","TW202427384A","仁寶電腦工業","2025-09-19","2025-09-15","2022-12-16",NA,"具六自由度之控制器追蹤系統及方法","本案提供一種具六自由度之控制器追蹤系統及方法，控制器追蹤系統包含控制器、影像感測器、管理單元及處理單元。控制器之測量單元架構於測量控制器之三自由度的旋轉量。影像感測器持續擷取包含控制器在內的影像。管理單元電連接於控制器及影像感測器，以接收旋轉量及影像。處理單元電連接於管理單元以接收影像，並基於機器學習推得控制器於影像中的三維座標，進而通過複數個影像中的複數個三維座標獲取控制器之三自由度的移動量。管理單元接收處理單元所獲取的移動量，並根據旋轉量及移動量獲得控制器之六自由度的位置變化資訊。","branch","Yes","自動控制與機器人",NA,"2324","電腦及週邊","2025-09-18",0.93,-30.08,1,-23.93,-10.22,-35.4,30.6,27.3,30,30.4,29.2,0.14913,54.7,"TW"
"478","TW202427467A","南韓商三星電子","2025-09-19","2025-09-15","2023-11-01",NA,"用於供電給儲存裝置的設備以及方法","一種設備可包括儲存結構，所述儲存結構包括：電力連接組構；第一裝置介面，被配置成接納具有可與裝置形狀相容的形狀的第一裝置且將第一裝置連接至電力連接組構；以及第二裝置介面，被配置成接納具有可與裝置形狀相容的形狀的第二裝置且將第二裝置連接至電力連接組構。第一裝置可包括儲存裝置，且第二裝置可包括電力裝置。第一裝置介面可包括用於將儲存裝置連接至電力連接組構的連接器。第一裝置介面可包括用於接納儲存裝置的裝置槽。第二裝置介面可包括用於將電力裝置連接至電力連接組構的連接器。","main",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"479","TW202427470A","大陸商摩爾線程智能科技(北京)","2025-09-19","2025-09-15","2023-12-29",NA,"記憶體的控制方法和控制器、以及晶片系統","本案提供記憶體的控制方法和控制器、以及晶片系統。其中控制器包括：時隙控制確定邏輯，被配置成獲取用於定義時隙控制模式的時隙配置資訊，所述時隙控制模式指示目標記憶體的每個控制週期中的工作模式和休眠模式的切換模式；命令緩衝器，被配置成存在目標記憶體的休眠模式下，針對目標記憶體的訪問請求；低功耗控制邏輯，被配置成根據所述時隙控制模式控制所述目標記憶體，使得所述目標記憶體在休眠模式下進入低功耗狀態，以及在工作模式下處理所述訪問請求。","main",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"480","TW202427471A","財團法人工業技術研究院","2025-09-19","2025-09-15","2022-12-27",NA,"磁性記憶體結構","本發明提供一種磁性記憶體結構。磁性記憶體結構包含多個磁穿隧接面（MTJ）層和多個重金屬層。多個磁穿隧接面層包含：固定層；阻障層，形成在固定層下；以及自由層，形成在阻障層下。多個重金屬層安置在自由層下。","decline",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"481","TW202427473A","南韓商三星電子","2025-09-19","2025-09-15","2023-09-23",NA,"半導體記憶體裝置","一種半導體記憶體裝置包括記憶體胞元陣列及行存取電路。所述記憶體胞元陣列包括多個子陣列區塊且子陣列區塊中的每一者包括揮發性記憶體胞元。行存取電路進行以下操作：接收多個資料單元，所述多個資料單元中的每一者包括具有為k:1的比率的正常資料與元資料，元資料與管理正常資料相關聯；以k:1的比率將與將資料單元傳送至位元線相關聯的p條行選擇線分配至資料單元中的多個正常資料及多個元資料；及將所述多個正常資料之中的第一正常資料的子單元及第一元資料的子單元分別儲存於所述多個子陣列區塊中的第一子陣列區塊的第一區及第二區中。","main",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"482","TW202427483A","旺宏電子","2025-09-19","2025-09-15","2023-03-27",NA,"半導體系統、記憶體裝置以及電腦實施方法","本揭露揭示一種半導體系統，此半導體系統包含半導體裝置以及控制器。半導體裝置用以儲存資料。控制器通訊耦接於半導體裝置。半導體裝置以及控制器用以：響應於判斷儲存於半導體裝置的特定資料是否符合可靠度條件，藉以採用第一讀取電壓讀取特定資料以取得第一讀出資料，以及採用第二讀取電壓讀取特定資料以取得第二讀出資料，第二讀取電壓不同於第一讀取電壓。半導體裝置以及控制器用以比較第一讀出資料以及第二讀出資料以取得比較結果；以及根據比較結果，判斷是否對特定資料執行錯誤校正程序。","main","Yes","記憶體與儲存裝置",NA,"2337","半導體","2025-09-18",0.79,-5.15,4,5.33,-45.03,-110.81,22.2,23.7,23.4,27.05,23,0.05588,51.4,"TW"
"483","TW202427484A","美商艾爾斯賓科技公司","2025-09-19","2025-09-15","2023-10-03",NA,"用於非揮發性儲存位元之掃描鏈介面之系統及方法","一種用於一記憶體裝置之掃描鏈電路包括：一第一非揮發性儲存位元(nvbit)，該第一nvbit經組態以接收一共用控制信號；一第二nvbit，該第二nvbit經組態以接收該共用控制信號；一第一正反器，該第一正反器連接到該第一nvbit；及一第二正反器，該第二正反器連接到該第二nvbit及該第一正反器。該第一正反器使得能夠基於一時脈信號將一第一資料輸入(din)載入到該第一nvbit，且該第二正反器使得能夠基於該時脈信號將一第二din載入到該第二nvbit。","main",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"484","TW202427486A","慧榮科技","2025-09-19","2025-09-15","2022-12-16",NA,"資料儲存裝置與錯誤回復執行方法","一種資料儲存裝置包括至少一訊號處理電路，用以於資料儲存裝置發生錯誤時，執行錯誤回復程序。於執行錯誤回復程序時，訊號處理電路決定執行線路重置操作，並且根據裝置識別符決定執行何種類型之線路重置操作。當裝置識別符符合既定條件時，訊號處理電路執行週期性線路重置操作，以於既定期間內反覆地傳送線路重置訊號給同級裝置，直到既定期間屆期或者自同級裝置接收到另一線路重置訊號以表示線路重置訊號之確收；以及當裝置識別符不符合既定條件時，訊號處理電路執行一次性線路重置操作，以僅傳送一次線路重置訊號給同級裝置。","main",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"485","TW202427532A","日商日立全球先端科技","2025-09-19","2025-09-15","2023-12-13",NA,"處理器系統、修正方法、及修正程式","本揭示之目的在於提供一種可減少與多射束型帶電粒子顯微鏡裝置相關之串擾之影響的技術。        多射束型之帶電粒子顯微鏡裝置100具備：照射系統104，其將複數個射束照射至試料9面上之複數個區域；檢測系統125(修正用檢測器132、攝像用檢測器131)，其檢測來自試料9面之放射電子；及控制器102，其基於多檢測器123之第1檢測器之第1信號產生第1區域內之第1像素之第1亮度，且基於第2檢測器之第2信號產生上述第2區域內之第2像素之第2亮度。可與帶電粒子顯微鏡裝置100通信之處理器系統103之處理器基於自帶電粒子顯微鏡裝置100取得之第1亮度與修正用檢測器132之輸出，特定來自第2放射電子對第1信號之第1串擾量，並基於第1串擾量修正第1亮度。","main",NA,"光學元件與光通訊",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"486","TW202427535A","日商住友重機械離子科技","2025-09-19","2025-09-15","2023-11-24",NA,"離子植入裝置及離子植入方法","[課題]本發明提供一種能夠藉由簡單的手法迅速地變更離子束的植入角度條件之離子植入裝置等。        [解決手段]離子植入裝置執行以下步驟(a)～(d)：(a)依據在被處理物的第1區域中事先確定之離子束相對於被處理物的第1植入角度的資訊，藉由傾斜角度調整裝置將被處理物保持裝置的傾斜角度調整為第1傾斜角度；(b)對藉由被處理物保持裝置以第1傾斜角度保持之被處理物的第1區域照射離子束；(c)依據在被處理物的第2區域中事先確定之離子束相對於被處理物的第2植入角度的資訊，藉由傾斜角度調整裝置將被處理物保持裝置的傾斜角度調整為第2傾斜角度；(d)對藉由被處理物保持裝置以第2傾斜角度保持之被處理物的第2區域照射離子束。","main",NA,"半導體結構與製程",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"487","TW202427537A","美商應用材料","2025-09-19","2025-09-15","2023-06-29",NA,"用於基板支撐件的處理套組","於此提供用於處理基板的方法及設備。在一些實施例中，用於基板支撐件的處理套組包含：一上邊緣環，該上邊緣環由石英製成且具有一上表面及一下表面，其中該上表面實質為平面且該下表面包含一階梯狀下表面以界定該上邊緣環的一徑向最外部分及一徑向最內部分。","main",NA,"印刷電路板",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"488","TW202427540A","日商愛發科","2025-09-19","2025-09-15","2023-08-28",NA,"基板處理裝置、基板處理系統、及基板處理方法","本發明提供一種可抑制還原不足之基板處理裝置、及基板處理方法。本發明係還原表面包含金屬層之基板S的表面之基板處理裝置，且具備：處理室本體42；收容於處理室本體42，並搭載基板S之熱平板22；在處理室本體42中供給氫氣之電漿的電漿生成部43；及執行在驅動電漿生成部43之前，藉由驅動熱平板22而從表面除去吸附物之脫氣處理，及在驅動熱平板22後，藉由驅動電漿生成部43而在脫氣處理後之表面供給電漿的還原處理之控制部。","main",NA,"印刷電路板",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"489","TW202427541A","LAM RESEARCH CORPORATION","2025-09-19","2025-09-15","2023-09-05",NA,"基板處理系統的排氣線用的氣體冷卻蓋件","一種基板處理系統的排氣連接器用的氣體冷卻蓋件，包含：第一蓋件部分，其配置以設置在該基板處理系統的該排氣連接器之第一部分周圍，並包括第一主體，其界定第一氣體室和第二氣體室。第一氣體入口設置在該第一主體的一外表面上，並與該第一氣體室流體連通。第一複數噴嘴設置在該第一蓋件部分的一內表面上，並與該第一氣體室流體連通。第一複數排氣端口設置在該第一蓋件部分的該內表面上，並配置以將位在該第一蓋件部分和該排氣連接器的該第一部分之間的氣體引導至該第一主體的該第二氣體室。","main",NA,"散熱管理",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"490","TW202427550A","大陸商中微半導體設備(上海)","2025-09-19","2025-09-15","2023-11-28",NA,"用於電漿處理器的下電極組件","本發明提供一種用於電漿處理器的下電極組件，其中，包括一基座，基座上方包括加熱器和靜電夾盤，所述靜電夾盤用於支撐待處理基片；基座下方包括一控溫板，一隔熱層位於所述基座和控溫板之間實現對所述基座和控溫板之間的熱隔離；所述基座中包括第一冷卻液通道，所述第一冷卻液通道用於連接到第一冷卻液源；控溫板中包括第二冷卻液通道，所述第二冷卻液通道用於連接到第二冷卻液源；一絕緣套管穿過所述控溫板和隔熱層到達基座，一電纜位於絕緣套管內，所述電纜一端連接到基座，另一端用於連接到控溫板下方的至少一個射頻電源；所述控溫板中設置有一個輔助控制電路，用於驅動控制所述加熱器。","main",NA,"電機機械",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"491","TW202427553A","HITACHI HIGH-TECH CORPORATION","2025-09-19","2025-09-15","2023-12-25",NA,"電漿處理裝置","在於提供一種「使真空容器內部的排氣傳導度提升，形成穩定之電漿形成」的電漿處理裝置。電漿處理裝置，係將複數個驅動致動器配置於真空容器外部，以複數根臂體連接驅動致動器與試料台底面的外周部。藉由驅動致動器所致之臂體的上下驅動，使試料台上下驅動。以供電等為目的，連接於試料台之纜線類與臂體，係沿垂直方向並列配置，藉由將纜線類設為沿著臂體之配線路徑的方式，抑制滑動並減少試料台單元所占的真空容器之容積。","main",NA,"電機機械",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"492","TW202429189A","美商微相科技","2025-09-19","2025-09-15","2023-01-07",NA,"應用於光罩保護組件之薄膜微塵去除系統及其方法","一種應用於光罩保護組件之薄膜微塵去除系統及其方法，係應用於一結合於一光罩表面的光罩保護組件，該光罩保護組件係具有一框架及一薄膜，其中該光罩係透過一夾持機構進行夾持，並掃描該薄膜表面之微塵位置，再依據該微塵位置帶動一溶液輸出單元沿X、Y或Z方向位移，以於該微塵位置滴落一溶液，用以包覆該微塵，之後由一升降傾斜旋轉機構將該夾持機構朝向一廢液回收槽傾斜，以使包覆該微塵之溶液能夠朝向該廢液回收槽滾動並進入該廢液回收槽。","branch",NA,"半導體設備",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
